Location,Shannon,Temperature,pH,Latitude
Water (ns),5.328262852,3.9,6.06,53.1
Water (ns),3.81414266,3.9,6.06,53.1
Water (ns),5.739119992,6.3,6.06,53.1
Water (ns),5.152961373,6.3,6.06,53.1
Water (ns),2.071835473,4.2,6.08,53.1
Water (ns),6.393313464,4.2,6.08,53.1
Water (ns),7.090490251,4.77,6.1,68.571037
Water (ns),6.372033283,2.59,6.1,68.574673
Water (ns),8.386166625,12.3,6.1,68.57478333
Water (ns),6.581783313,2.45,6.1,68.578931
Water (ns),6.600497171,2.77,6.1,68.578931
Water (ns),5.727241824,5.49,6.1,68.578931
Water (ns),6.701229958,6.26,6.1,68.578931
Water (ns),6.528270959,2.16,6.1,68.587573
Water (ns),6.683968504,6.56,6.1,68.587573
Water (ns),6.856507485,16.5,6.1,68.59491667
Water (ns),8.331275904,7.3,6.1,68.61818333
Water (ns),6.254280674,5.91,6.1,68.629961
Water (ns),4.336551081,14.28,6.11,55.873
Water (ns),5.041877004,4.3,6.12,53.1
Water (ns),4.867819571,4.3,6.12,53.1
Water (ns),3.953069018,5.3,6.12,53.1
Water (ns),3.771274447,5.3,6.12,53.1
Water (ns),6.013654784,10,6.12,53.1
Water (ns),6.957167265,14.52,6.12,55.873
Soil (ns),2.799970298,90,6.13,19.389
Water (ns),5.116996453,6,6.14,53.1
Water (ns),5.481708697,6,6.14,53.1
Water (ns),3.617146431,18.6,6.16,53.1
Water (ns),5.735343327,18.6,6.16,53.1
Water (ns),5.076050009,12.26,6.19,55.905
Water (ns),4.360357069,18.1,6.2,53.1
Water (ns),4.382942117,18.1,6.2,53.1
Water (ns),1.963150779,22,6.2,53.1
Water (ns),3.420554359,22,6.2,53.1
Water (ns),5.735963014,23.8,6.2,53.1
Water (ns),5.851640064,23.8,6.2,53.1
Water (ns),4.098820047,4.2,6.2,68.571037
Water (ns),6.406639915,11.6,6.2,68.57478333
Water (ns),7.467408942,13,6.2,68.58423333
Water (ns),7.485547428,15.6,6.2,68.585839
Water (ns),6.709318717,3.2,6.2,68.587573
Water (ns),7.6321687,11.1,6.2,68.59491667
Water (ns),7.093092433,14.9,6.2,68.59491667
Water (ns),4.845325059,16.9,6.2,68.79622
Water (ns),6.270421448,13.7,6.2,68.81046
Water (ns),6.644342936,9.5,6.21,53.1
Water (ns),1.047731738,9.5,6.21,53.1
Water (ns),2.808927901,20.4,6.24,53.1
Water (ns),3.47785544,20.4,6.24,53.1
Water (ns),5.319205008,23,6.24,53.1
Water (ns),4.96905585,23,6.24,53.1
Water (ns),4.201657664,20.6,6.26,53.1
Water (ns),4.064514543,20.6,6.26,53.1
Water (ns),5.655520327,8.3,6.27,53.1
Water (ns),5.602067307,8.3,6.27,53.1
Water (ns),4.647931226,16.4,6.3,53.1
Water (ns),4.054984324,16.4,6.3,53.1
Water (ns),5.82325353,15.3,6.3,68.50245
Water (ns),6.624897549,3.15,6.3,68.5684
Water (ns),5.935498654,7.44,6.3,68.5684
Water (ns),6.569327275,3.99,6.3,68.571037
Water (ns),7.449847055,11,6.3,68.57478333
Water (ns),9.169231295,13.9,6.3,68.57478333
Water (ns),9.136368518,12.3,6.3,68.585839
Water (ns),6.576957114,9.67,6.3,68.587573
Water (ns),8.491850276,7.2,6.3,68.60853333
Water (ns),6.886893467,11.2,6.3,68.61818333
Water (ns),5.858092158,18.6,6.32,53.1
Water (ns),5.348862482,18.6,6.32,53.1
Water (ns),3.650967446,9.1,6.33,53.1
Water (ns),4.806661235,9.1,6.33,53.1
Water (ns),6.842991589,17,6.33,53.1
Water (ns),6.325953677,17,6.33,53.1
Water (ns),6.601597556,14.64,6.34,55.873
Water (ns),4.575246809,18.8,6.35,53.1
Water (ns),4.205900998,18.8,6.35,53.1
Water (ns),5.944139349,20.3,6.35,53.1
Water (ns),3.994556759,20.3,6.35,53.1
Soil (ns),3.668588894,74.6,6.36,19.389
Water (ns),5.028151417,7.5,6.36,53.1
Water (ns),5.491731143,7.5,6.36,53.1
Water (ns),1.489693018,22.4,6.4,53.1
Water (ns),1.553351436,22.4,6.4,53.1
Water (ns),6.274449721,2.56,6.4,68.5684
