Location,OO,Temperature,pH,Latitude
Water (ns),314,3.9,7.5,68.633064
Water (ns),296,3.9,7.5,68.633064
Water (ns),245,4.8,7.5,68.638624
Water (ns),282,10.31,7.5,68.639895
Water (ns),346,15.9,7.5,68.70333333
Water (ns),333,18.5,7.5,68.79372
Water (ns),346,20.3,7.5,68.79372
Water (ns),278,18.6,7.5,68.82735
Water (ns),364,15.6,7.5,68.86175
Water (ns),262,15.8,7.5,68.86175
Water (ns),311,4.4,7.53,53.167
Water (ns),170,4.4,7.53,53.167
Water (ns),336,4.6,7.53,53.167
Water (ns),195,4.6,7.53,53.167
Water (s),308,6.008,7.5452,8.767
Water (ns),1702,4.4,7.55,53.167
Water (ns),140,4.4,7.55,53.167
Water (ns),116,14.9,7.56,55.906
Water (s),302,9.7522,7.5695,10.75
Water (ns),428,4.3,7.58,53.167
Water (ns),274,4.3,7.58,53.167
Water (ns),285,4.3,7.58,53.167
Water (ns),1652,4.3,7.58,53.167
Water (ns),241,4.8,7.58,53.167
Water (ns),70,14.6,7.58,55.873
Water (ns),61,12.26,7.58,55.905
Water (ns),311,4.8,7.59,53.167
Water (ns),220,4.8,7.59,53.167
Water (ns),194,4.9,7.59,53.167
Water (ns),211,4.9,7.59,53.167
Water (ns),1571,5,7.6,53.167
Water (ns),467,5,7.6,53.167
Water (ns),306,14.02,7.6,55.873
Water (ns),529,8.1,7.6,68.48625
Water (ns),115,19.5,7.6,68.48625
Water (ns),261,12.2,7.6,68.49113
Water (ns),277,14.5,7.6,68.49113
Water (ns),346,14.2,7.6,68.49592
Water (ns),316,14.3,7.6,68.49592
Water (ns),445,9.4,7.6,68.53327
Water (ns),256,17.7,7.6,68.53327
Water (ns),153,16.4,7.6,68.53405
Water (ns),338,7.9,7.6,68.53698
Water (ns),309,14,7.6,68.53698
Water (ns),265,17.1,7.6,68.53698
Water (ns),418,5.14,7.6,68.571037
Water (ns),1921,7,7.6,68.57366667
Water (ns),2161,8.4,7.6,68.57366667
Water (ns),1296,10.3,7.6,68.57366667
Water (ns),334,19.4,7.6,68.58333333
Water (ns),317,14.1,7.6,68.585
Water (ns),232,16.1,7.6,68.585
Water (ns),270,16.1,7.6,68.585
Water (ns),294,13.28,7.6,68.595875
Water (ns),232,16.1,7.6,68.595875
Water (ns),202,17.61,7.6,68.595875
Water (ns),2222,5.2,7.6,68.59688333
Water (ns),197,11.9,7.6,68.6
Water (ns),1842,12.1,7.6,68.6
Water (ns),1966,11.4,7.6,68.601493
Water (ns),2295,5.9,7.6,68.60853333
Water (ns),2247,7.1,7.6,68.60853333
Water (ns),1826,8.3,7.6,68.60853333
Water (ns),2192,8.6,7.6,68.60853333
Water (ns),2257,9.3,7.6,68.60853333
Water (ns),2166,10.1,7.6,68.60853333
Water (ns),2530,12,7.6,68.60853333
Water (ns),1441,13.2,7.6,68.60853333
Water (ns),1061,10.1,7.6,68.60895
Water (ns),250,17.66,7.6,68.609203
Water (ns),248,10.11,7.6,68.609717
Water (ns),103,10.55,7.6,68.609717
Water (ns),354,12.47,7.6,68.609717
Water (ns),247,17.77,7.6,68.609846
Water (ns),697,7.5,7.6,68.61035
Water (ns),503,9.4,7.6,68.61035
Water (ns),621,6.7,7.6,68.611341
Water (ns),410,7.1,7.6,68.611341
Water (ns),343,13.2,7.6,68.611341
Water (ns),183,13.7,7.6,68.611341
Water (ns),255,13.8,7.6,68.611341
Water (ns),178,14.6,7.6,68.611341
Water (ns),270,15.4,7.6,68.611341
Water (ns),287,16.8,7.6,68.611341
Water (ns),959,9.8,7.6,68.61818333
Water (ns),923,10.2,7.6,68.61818333
Water (ns),910,11.6,7.6,68.61818333
Water (ns),238,14.6,7.6,68.61818333
Water (ns),463,7.4,7.6,68.61838333
Water (ns),911,8.2,7.6,68.61838333
Water (ns),345,12.2,7.6,68.61838333
Water (ns),714,12.6,7.6,68.61838333
Water (ns),416,13.3,7.6,68.61838333
Water (ns),812,14.8,7.6,68.61838333
Water (ns),1578,15.4,7.6,68.61838333
Water (ns),462,16.6,7.6,68.61838333
Water (ns),2315,7.8,7.6,68.622
Water (ns),568,8.1,7.6,68.622
Water (ns),500,8.1,7.6,68.622
Water (ns),1849,9.9,7.6,68.622
Water (ns),86,10.7,7.6,68.622
Water (ns),1527,11.4,7.6,68.622
Water (ns),272,15,7.6,68.62276
Water (ns),421,15.4,7.6,68.62538
Water (ns),320,18.5,7.6,68.62538
Water (ns),1342,0.1,7.6,68.6256
Water (ns),1209,9.9,7.6,68.6256
Water (ns),792,9.9,7.6,68.6256
Water (ns),732,9.9,7.6,68.6256
Water (ns),951,11.4,7.6,68.6256
Water (ns),953,11.6,7.6,68.6256
Water (ns),1299,12,7.6,68.6256
Water (ns),1098,14,7.6,68.6256
Water (ns),639,14.1,7.6,68.6256
Water (ns),888,15.2,7.6,68.6256
Water (ns),241,6.53,7.6,68.629961
Water (ns),263,6.53,7.6,68.629961
Water (ns),216,6.58,7.6,68.629961
Water (ns),344,8.24,7.6,68.629961
Water (ns),256,8.88,7.6,68.629961
Water (ns),346,9.51,7.6,68.629961
Water (ns),309,10.85,7.6,68.629961
Water (ns),321,11.34,7.6,68.629961
Water (ns),286,11.34,7.6,68.629961
Water (ns),286,11.87,7.6,68.629961
Water (ns),300,12.89,7.6,68.629961
Water (ns),296,12.95,7.6,68.629961
Water (ns),300,13.07,7.6,68.629961
Water (ns),260,13.43,7.6,68.629961
Water (ns),28,15.06,7.6,68.629961
Water (ns),271,3.94,7.6,68.633064
Water (ns),243,5.93,7.6,68.638624
Water (ns),1357,9.9,7.6,68.673757
Water (ns),815,13.2,7.6,68.673757
Water (ns),1111,10.7,7.6,68.67415
Water (ns),292,14,7.6,68.705
Water (ns),256,16.5,7.6,68.802636
Water (ns),278,17.5,7.6,68.86755
Water (ns),268,19.4,7.6,68.87315
Water (ns),304,20,7.6,68.97871
Water (ns),43,14.8,7.6,68.98633
Soil (ns),510,14.4,7.62,55.873
Water (ns),222,4.2,7.63,53.167
Water (ns),244,4.2,7.63,53.167
Water (ns),171,4.8,7.63,53.167
Water (ns),295,4.8,7.63,53.167
Water (ns),162,5.6,7.63,53.167
Water (ns),184,5.6,7.63,53.167
Water (s),365,10.18475,7.6308,12.083
Water (ns),308,5.4,7.64,53.167
Water (ns),279,5.4,7.64,53.167
Water (ns),309,4.4,7.65,53.167
Water (ns),246,4.4,7.65,53.167
Water (ns),633,5,7.66,53.167
Water (ns),166,5,7.66,53.167
Water (ns),325,2.5141,7.667,46.993
Water (ns),210,4.8,7.68,53.167
Water (ns),234,4.8,7.68,53.167
Water (ns),293,13.12,7.68,55.905
Water (s),155,8.9626,7.6808,27.483
Sediment (s),1566,11,7.69,50.338
Sediment (s),1013,11,7.69,50.338
Sediment (s),667,11,7.69,50.338
Sediment (s),1246,11,7.69,50.338
Sediment (s),707,11,7.69,50.338
Sediment (s),1111,11,7.69,50.338
Sediment (s),861,11,7.69,50.338
Sediment (s),985,11,7.69,50.338
Sediment (s),663,11,7.69,50.338
Sediment (s),929,11,7.69,50.338
Sediment (s),887,11,7.69,50.338
Sediment (s),710,12.1,7.69,50.338
Sediment (s),1720,12.1,7.69,50.338
Sediment (s),1211,12.1,7.69,50.338
Sediment (s),1118,12.1,7.69,50.338
Sediment (s),1108,12.1,7.69,50.338
Sediment (s),1150,12.1,7.69,50.338
Sediment (s),1278,12.1,7.69,50.338
Sediment (s),671,12.1,7.69,50.338
Sediment (s),759,12.1,7.69,50.338
Sediment (s),1004,12.1,7.69,50.338
Sediment (s),967,12.1,7.69,50.338
Water (ns),217,4.9,7.69,53.167
Water (ns),165,4.9,7.69,53.167
Water (ns),253,5.4,7.69,53.167
Water (ns),215,5.4,7.69,53.167
Water (s),213,10.0195,7.6903,22.983
Water (s),363,1.7723,7.6908,10.75
Water (ns),324,2.8119,7.691,47.606
Water (ns),251,4.3,7.7,53.167
Water (ns),225,4.3,7.7,53.167
Water (ns),261,5.7,7.7,53.167
Water (ns),248,5.7,7.7,53.167
Water (ns),1348,4.2,7.7,68.178333
Water (ns),297,15.9,7.7,68.48625
Water (ns),437,17.6,7.7,68.48625
Water (ns),18,17.5,7.7,68.49113
Water (ns),388,9,7.7,68.49592
Water (ns),229,16.2,7.7,68.50508
Water (ns),316,18.2,7.7,68.51007
Water (ns),288,16.2,7.7,68.53327
Water (ns),252,15.1,7.7,68.53698
Water (ns),1991,5.8,7.7,68.578643
Water (ns),274,13.55,7.7,68.582062
Water (ns),158,13.59,7.7,68.582062
Water (ns),265,13.75,7.7,68.595875
Water (ns),2388,6.1,7.7,68.59688333
Water (ns),2412,9.8,7.7,68.6
Water (ns),1370,11.5,7.7,68.6
Water (ns),314,9.72,7.7,68.600601
Water (ns),2178,8.1,7.7,68.60853333
Water (ns),1924,9.3,7.7,68.60853333
Water (ns),292,10.5,7.7,68.60853333
Water (ns),351,11,7.7,68.60853333
Water (ns),1841,12.1,7.7,68.60853333
Water (ns),714,12.7,7.7,68.60853333
Water (ns),65,13.9,7.7,68.60853333
Water (ns),137,15.4,7.7,68.60853333
Water (ns),1218,17.6,7.7,68.60853333
Water (ns),246,7.62,7.7,68.609717
Water (ns),239,17.52,7.7,68.610529
Water (ns),434,15.7,7.7,68.611341
Water (ns),731,11.6,7.7,68.61818333
Water (ns),425,13,7.7,68.61818333
Water (ns),449,9.6,7.7,68.61838333
Water (ns),1094,10.7,7.7,68.61838333
Water (ns),585,11.2,7.7,68.61838333
Water (ns),702,12.6,7.7,68.61838333
Water (ns),892,16.2,7.7,68.61838333
Water (ns),999,7.6,7.7,68.622
Water (ns),2087,9.4,7.7,68.622
Water (ns),2121,10.8,7.7,68.622
Water (ns),394,6.9,7.7,68.6256
Water (ns),652,7.7,7.7,68.6256
Water (ns),1340,12.1,7.7,68.6256
Water (ns),1546,12.1,7.7,68.6256
Water (ns),310,5,7.7,68.625966
Water (ns),307,7.4,7.7,68.625966
Water (ns),211,6.61,7.7,68.629961
Water (ns),248,6.61,7.7,68.629961
Water (ns),313,9.38,7.7,68.629961
Water (ns),300,11.44,7.7,68.629961
Water (ns),317,12.14,7.7,68.629961
Water (ns),321,13.52,7.7,68.629961
Water (ns),293,14.06,7.7,68.629961
Water (ns),248,14.23,7.7,68.629961
Water (ns),287,14.23,7.7,68.629961
Water (ns),251,14.36,7.7,68.629961
Water (ns),270,16.14,7.7,68.629961
Water (ns),1265,10.5,7.7,68.673757
Water (ns),669,14,7.7,68.673757
Water (ns),256,14.3,7.7,68.705
Water (ns),238,16.5,7.7,68.70798
Water (ns),362,20.5,7.7,68.79372
Water (ns),309,17.1,7.7,68.8264
Water (ns),513,16.5,7.7,68.900986
Water (s),150,11.2,7.7,70.08625
Water (ns),315,2.525,7.702,46.993
Water (ns),527,4.1,7.71,53.167
Water (ns),811,4.1,7.71,53.167
Water (s),264,2.2251,7.7189,36.5
Water (s),267,2.2251,7.7189,36.5
Water (ns),330,4.8,7.72,53.167
Water (ns),520,4.8,7.72,53.167
Water (s),378,2.139,7.7206,8.767
Water (ns),226,4.7,7.73,53.167
Water (ns),249,4.7,7.73,53.167
Water (ns),213,4.9,7.73,53.167
Water (ns),245,4.9,7.73,53.167
Water (s),382,3.517,7.731,14.733
Water (s),392,3.4789,7.732,8.767
Water (s),268,3.0838,7.7326,36.5
Water (s),404,3.4739,7.7334,10.75
Water (ns),245,4.6,7.74,53.167
Water (ns),266,4.6,7.74,53.167
Water (ns),383,12.88,7.74,55.905
Water (ns),306,4.2,7.75,53.167
Water (ns),425,4.2,7.75,53.167
Water (ns),143,5,7.75,53.167
Water (ns),176,5,7.75,53.167
Water (ns),199,5.4,7.75,53.167
Water (ns),278,5.4,7.75,53.167
Water (ns),277,2.558,7.752,46.993
Water (ns),255,4.6,7.76,53.167
Water (ns),325,2.7887,7.762,47.606
Water (ns),358,3.7,7.77,53.167
Water (ns),471,3.7,7.77,53.167
Water (ns),261,4.7,7.77,53.167
Water (ns),119,4.7,7.77,53.167
Water (ns),1527,11.9,7.77,68.922878
Water (ns),302,2.5661,7.772,46.993
Water (ns),379,3.3379,7.78,47.606
Water (ns),384,3.3463,7.78,47.606
Water (ns),233,6,7.78,53.1
Water (ns),233,6,7.78,53.1
Water (ns),214,6,7.78,53.1
Water (ns),181,6,7.78,53.1
Water (ns),255,4.2,7.78,53.167
Water (ns),334,4.2,7.78,53.167
Water (ns),218,4.9,7.78,53.167
Water (ns),837,13.54,7.78,55.905
Water (ns),733,13.7,7.78,55.905
Water (ns),300,2.5673,7.782,46.993
Water (ns),314,2.5709,7.782,46.993
Water (ns),308,2.555,7.787,47.371
Water (ns),280,4.7,7.79,53.167
Water (ns),302,4.7,7.79,53.167
Water (ns),242,5,7.79,53.167
Water (ns),328,5,7.79,53.167
Water (ns),792,20.4,7.79,53.517
Water (ns),306,20.4,7.79,53.517
Water (ns),245,4,7.8,53.167
Water (ns),278,4,7.8,53.167
Water (ns),375,4.5,7.8,53.167
Water (ns),327,4.5,7.8,53.167
Water (ns),324,4.7,7.8,53.167
Water (ns),297,4.7,7.8,53.167
Water (ns),167,4.8,7.8,53.167
Water (ns),260,7.85,7.8,53.167
Sediment (s),185,17,7.8,58.22
Sediment (s),212,17,7.8,58.22
Sediment (s),337,17,7.8,58.22
Sediment (s),580,17,7.8,58.22
Sediment (s),153,17,7.8,58.22
Sediment (s),491,17,7.8,58.22
Sediment (s),159,17,7.8,58.22
Sediment (s),210,17,7.8,58.22
Sediment (s),175,17,7.8,58.22
Sediment (s),296,17,7.8,58.22
Sediment (s),608,17,7.8,58.22
Sediment (s),606,17,7.8,58.22
Sediment (s),463,17,7.8,58.22
Sediment (s),494,17,7.8,58.22
Sediment (s),212,17,7.8,58.22
Sediment (s),215,17,7.8,58.22
Sediment (s),218,6,7.8,58.322
Sediment (s),207,6,7.8,58.322
Sediment (s),193,6,7.8,58.322
Sediment (s),141,6,7.8,58.322
Sediment (s),96,6,7.8,58.322
Sediment (s),78,6,7.8,58.322
Sediment (s),97,6,7.8,58.322
Sediment (s),72,6,7.8,58.322
Sediment (s),74,6,7.8,58.322
Sediment (s),269,6,7.8,58.322
Sediment (s),200,6,7.8,58.322
Sediment (s),199,6,7.8,58.322
Sediment (s),182,6,7.8,58.322
Sediment (s),73,6,7.8,58.322
Sediment (s),95,6,7.8,58.322
Sediment (s),55,6,7.8,58.322
Sediment (s),71,6,7.8,58.322
Sediment (s),655,6,7.8,58.322
Sediment (s),693,6,7.8,58.322
Sediment (s),688,6,7.8,58.322
Sediment (s),799,6,7.8,58.322
Sediment (s),759,6,7.8,58.322
Sediment (s),799,6,7.8,58.322
Sediment (s),706,6,7.8,58.322
Sediment (s),670,6,7.8,58.322
Sediment (s),696,6,7.8,58.322
Sediment (s),724,6,7.8,58.322
Sediment (s),724,6,7.8,58.322
Sediment (s),674,6,7.8,58.322
Sediment (s),625,6,7.8,58.322
Sediment (s),635,6,7.8,58.322
Sediment (s),652,6,7.8,58.322
Sediment (s),654,6,7.8,58.322
Sediment (s),680,6,7.8,58.322
Sediment (s),610,6,7.8,58.322
Sediment (s),711,6,7.8,58.322
Sediment (s),641,6,7.8,58.322
Sediment (s),646,6,7.8,58.322
Sediment (s),634,6,7.8,58.322
Sediment (s),642,6,7.8,58.322
Sediment (s),435,6,7.8,58.322
Sediment (s),595,6,7.8,58.322
Sediment (s),804,6,7.8,58.322
Sediment (s),574,6,7.8,58.322
Water (ns),291,8.8,7.8,68.49113
Water (ns),391,18.4,7.8,68.53327
Water (ns),371,18.7,7.8,68.53327
Water (ns),1932,5.9,7.8,68.57366667
Water (ns),560,12.8,7.8,68.57366667
Water (ns),222,8.65,7.8,68.582062
Water (ns),192,11.11,7.8,68.582062
Water (ns),253,14.15,7.8,68.582062
Water (ns),203,15.74,7.8,68.582062
Water (ns),270,17.72,7.8,68.582062
Water (ns),416,14.3,7.8,68.58333333
Water (ns),2416,7.9,7.8,68.6
Water (ns),248,14.09,7.8,68.600601
Water (ns),2130,4.6,7.8,68.60853333
Water (ns),1545,12.3,7.8,68.60853333
Water (ns),296,14,7.8,68.60853333
Water (ns),1926,14.6,7.8,68.60853333
Water (ns),2030,16.5,7.8,68.60853333
Water (ns),339,7.87,7.8,68.609717
Water (ns),343,12.3,7.8,68.609717
Water (ns),247,18,7.8,68.609842
Water (ns),254,17.59,7.8,68.610028
Water (ns),246,17.92,7.8,68.610576
Water (ns),244,17.98,7.8,68.610889
Water (ns),267,7.8,7.8,68.611341
Water (ns),1863,14.5,7.8,68.611341
Water (ns),1553,6.8,7.8,68.611514
Water (ns),1000,13.3,7.8,68.61838333
Water (ns),771,13.6,7.8,68.61838333
Water (ns),705,13.8,7.8,68.61838333
Water (ns),1357,13.8,7.8,68.61838333
Water (ns),840,14,7.8,68.61838333
Water (ns),162,14.3,7.8,68.61838333
Water (ns),759,15,7.8,68.61838333
Water (ns),1153,15.4,7.8,68.61838333
Water (ns),642,16.3,7.8,68.61838333
Water (ns),2003,4.4,7.8,68.622
Water (ns),42,7.4,7.8,68.622
Water (ns),208,11.1,7.8,68.622
Water (ns),1220,7,7.8,68.6256
Water (ns),705,15.3,7.8,68.6256
Water (ns),322,11.15,7.8,68.629961
Water (ns),101,11.71,7.8,68.629961
Water (ns),286,11.73,7.8,68.629961
Water (ns),284,12.8,7.8,68.629961
Water (ns),296,12.82,7.8,68.629961
Water (ns),337,12.82,7.8,68.629961
Water (ns),339,14,7.8,68.629961
Water (ns),334,14.26,7.8,68.629961
Water (ns),307,14.31,7.8,68.629961
Water (ns),280,14.59,7.8,68.629961
Water (ns),268,14.59,7.8,68.629961
Water (ns),318,15.12,7.8,68.629961
Water (ns),313,15.12,7.8,68.629961
Water (ns),295,16.97,7.8,68.629961
Water (ns),301,17.31,7.8,68.629961
Water (ns),248,14.4,7.8,68.640904
Water (ns),452,16.3,7.8,68.67415
Water (ns),180,12.9,7.8,68.70166667
Water (ns),245,17,7.8,68.70166667
Water (ns),227,13.8,7.8,68.70333333
Water (ns),452,19.7,7.8,68.8264
Water (ns),282,17,7.8,68.86755
Water (ns),129,17.3,7.8,68.98633
Water (ns),158,13.7,7.8,69.58333333
Water (s),97,7.4,7.8,69.6344
Water (s),95,5.2,7.8,70.06601667
Water (s),130,9.4,7.8,70.08713333
Water (ns),245,4.8,7.81,53.167
Water (ns),233,4.8,7.81,53.167
Water (ns),322,13,7.81,55.906
Water (ns),314,2.5563,7.817,47.371
Water (ns),268,4.7,7.82,53.167
Water (ns),316,4.7,7.82,53.167
Water (ns),194,4.9,7.82,53.167
Water (ns),127,4.9,7.82,53.167
Water (ns),339,2.7938,7.827,47.606
Water (ns),224,4.8,7.84,53.167
Water (ns),266,4.8,7.84,53.167
Water (ns),1047,10.6,7.84,55.906
Sediment (s),1358,10.8,7.85,50.338
Sediment (s),916,10.8,7.85,50.338
Sediment (s),767,10.8,7.85,50.338
Sediment (s),1147,10.8,7.85,50.338
Sediment (s),986,10.8,7.85,50.338
Sediment (s),1473,10.8,7.85,50.338
Sediment (s),1228,10.8,7.85,50.338
Sediment (s),867,10.8,7.85,50.338
Sediment (s),997,10.8,7.85,50.338
Sediment (s),1048,10.8,7.85,50.338
Sediment (s),632,10.8,7.85,50.338
Water (ns),755,15,7.85,53.517
Water (ns),328,2.5444,7.852,47.371
Water (ns),346,2.8005,7.852,47.606
Water (ns),131,4.8,7.86,53.167
Water (ns),159,4.8,7.86,53.167
Water (ns),198,5,7.86,53.167
Water (ns),246,5,7.86,53.167
Water (ns),346,2.7489,7.862,47.371
Water (ns),324,2.7804,7.862,47.606
Water (ns),323,2.5587,7.867,47.371
Water (ns),329,2.7827,7.867,47.606
Water (ns),280,4.7,7.87,53.167
Water (ns),334,4.7,7.87,53.167
Water (ns),323,2.5525,7.872,47.371
Water (ns),327,2.5557,7.872,47.371
Water (ns),336,2.8062,7.872,47.606
Water (ns),152,3.2,7.88,53.167
Water (ns),209,3.2,7.88,53.167
Water (ns),321,2.5602,7.882,47.37
Water (ns),252,5.4,7.89,53.167
Water (ns),247,5.4,7.89,53.167
Water (ns),300,12.32,7.89,55.905
Water (ns),208,4.7,7.9,53.167
Water (ns),228,4.7,7.9,53.167
Water (ns),271,14.02,7.9,55.873
Water (ns),320,17.2,7.9,68.48625
Water (ns),260,14.6,7.9,68.49113
Water (ns),338,18.5,7.9,68.49113
Water (ns),319,19.2,7.9,68.49592
Water (ns),285,18.8,7.9,68.53405
Water (ns),1951,9.2,7.9,68.578643
Water (ns),181,9.89,7.9,68.582062
Water (ns),244,11.5,7.9,68.582062
Water (ns),283,14.37,7.9,68.582062
Water (ns),198,15.5,7.9,68.585
Water (ns),2514,4.3,7.9,68.59688333
Water (ns),2157,3.8,7.9,68.60853333
Water (ns),1490,6.2,7.9,68.60853333
Water (ns),1396,8.2,7.9,68.60853333
Water (ns),526,13.5,7.9,68.60853333
Water (ns),1313,13.5,7.9,68.60853333
Water (ns),2240,13.6,7.9,68.60853333
Water (ns),1564,16,7.9,68.60853333
Water (ns),185,13.15,7.9,68.609717
Water (ns),418,10.8,7.9,68.611341
Water (ns),307,12.8,7.9,68.611341
Water (ns),229,13.2,7.9,68.611341
Water (ns),322,15.3,7.9,68.611341
Water (ns),285,15.4,7.9,68.611341
Water (ns),1572,15.6,7.9,68.611341
Water (ns),1493,18.2,7.9,68.611341
Water (ns),2283,11.9,7.9,68.61838333
Water (ns),1983,6.8,7.9,68.622
Water (ns),1862,11.2,7.9,68.622
Water (ns),1400,13.2,7.9,68.622
Water (ns),248,16.5,7.9,68.62538
Water (ns),304,17.8,7.9,68.62538
Water (ns),962,1.6,7.9,68.6256
Water (ns),828,8.2,7.9,68.6256
Water (ns),70,12.5,7.9,68.6256
Water (ns),541,13.1,7.9,68.6256
Water (ns),184,13.3,7.9,68.6256
Water (ns),965,14.6,7.9,68.6256
Water (ns),331,9.44,7.9,68.625966
Water (ns),272,12.87,7.9,68.625966
Water (ns),311,9.8,7.9,68.626672
Water (ns),267,9.28,7.9,68.629961
Water (ns),278,10.88,7.9,68.629961
Water (ns),326,11.65,7.9,68.629961
Water (ns),308,12.73,7.9,68.629961
Water (ns),302,14.05,7.9,68.629961
Water (ns),1528,14.38,7.9,68.629961
Water (ns),324,14.54,7.9,68.629961
Water (ns),305,14.54,7.9,68.629961
Water (ns),285,9.29,7.9,68.632586
Water (ns),256,2.21,7.9,68.674932
Water (ns),322,7.04,7.9,68.674932
Water (ns),443,16.5,7.9,68.70166667
Water (ns),542,20.3,7.9,68.82735
Water (ns),208,16.5,7.9,68.82806
Water (ns),167,17.5,7.9,68.82806
Water (s),748,6.9,7.9,69.6598
Water (s),106,6.9,7.9,69.6598
Water (s),117,7.7,7.9,69.6828
Water (s),102,2.5,7.9,69.69248333
Water (s),89,2,7.9,69.69558333
Water (s),80,2,7.9,69.69558333
Water (s),173,8.8,7.9,69.8633
Water (s),136,11.4,7.9,70.1008
Water (s),121,10.5,7.9,70.1055
Water (s),101,4.9,7.9,70.15658333
Water (ns),738,4.2,7.91,53.167
Water (ns),305,4.2,7.91,53.167
Water (ns),63,10.9,7.91,53.333
Water (ns),299,10.9,7.91,53.333
Water (ns),59,8.8,7.92,53.517
Water (ns),111,8.8,7.92,53.517
Water (ns),310,2.7934,7.922,46.91
Water (ns),364,7.9,7.93,53.333
Water (ns),286,7.9,7.93,53.333
Water (ns),343,2.7852,7.932,46.91
Water (ns),170,7.6,7.94,53.167
Water (ns),1451,7.6,7.94,53.167
Water (ns),326,2.7713,7.947,46.91
Water (ns),328,2.7969,7.947,46.91
Sediment (s),963,10.6,7.95,50.338
Sediment (s),1009,10.6,7.95,50.338
Sediment (s),1039,10.6,7.95,50.338
Sediment (s),1054,10.6,7.95,50.338
Sediment (s),1078,10.6,7.95,50.338
Sediment (s),1042,10.6,7.95,50.338
Sediment (s),1276,10.6,7.95,50.338
Sediment (s),928,10.6,7.95,50.338
Sediment (s),916,10.6,7.95,50.338
Water (ns),331,2.869,7.951,46.909
Water (ns),344,2.7776,7.952,46.91
Water (ns),330,2.8759,7.956,46.909
Water (ns),467,3,7.96,53.167
Water (ns),667,3,7.96,53.167
Water (ns),527,5.2,7.96,53.167
Water (ns),233,5.2,7.96,53.167
Water (ns),261,12.2,7.96,55.906
Water (ns),332,2.914,7.966,46.909
Water (ns),191,4.1,7.97,53.167
Water (ns),387,4.1,7.97,53.167
Water (ns),236,4.5,7.97,53.167
Water (ns),522,4.5,7.97,53.167
Water (ns),662,12.6,7.97,55.905
Water (ns),320,2.9666,7.971,46.909
Water (ns),307,2.9673,7.976,46.909
Water (ns),177,2.3,7.98,53.517
Water (ns),772,2.3,7.98,53.517
Water (ns),371,2.8,7.98,53.517
Water (ns),130,2.8,7.98,53.517
Soil (ns),812,14.18,7.98,55.873
Water (ns),356,4.9,7.99,53.167
Water (ns),368,4.9,7.99,53.167
Water (ns),100,12.58,7.99,55.905
Water (ns),859,12.7,7.99,55.905
Water (s),238,15.48305,7.9909,38.333
Water (s),422,24.6294,7.9924,8.767
Water (ns),313,4,8,53.167
Water (ns),261,4,8,53.167
Water (ns),206,4.2,8,53.167
Water (ns),300,4.2,8,53.167
Water (ns),286,4.5,8,53.167
Water (ns),315,4.5,8,53.167
Water (ns),172,10.7,8,53.517
Water (ns),373,10.7,8,53.517
Water (ns),1154,12.58,8,55.905
Water (ns),302,6,8,68.182344
Water (ns),211,13.8,8,68.582062
Water (ns),438,14.3,8,68.59491667
Water (ns),2013,11.1,8,68.601493
Water (ns),1826,9.8,8,68.60853333
Water (ns),1733,10.2,8,68.60853333
Water (ns),1207,10.6,8,68.60853333
Water (ns),1654,11.6,8,68.60853333
Water (ns),1994,13.1,8,68.60853333
Water (ns),225,17.87,8,68.609717
Water (ns),297,13.8,8,68.611341
Water (ns),224,14.3,8,68.611341
Water (ns),290,16.9,8,68.611341
Water (ns),305,17.6,8,68.611341
Water (ns),1415,14.8,8,68.611514
Water (ns),659,7.8,8,68.61838333
Water (ns),364,8,8,68.61838333
Water (ns),448,10.6,8,68.61838333
Water (ns),1887,6.6,8,68.622
Water (ns),2256,6.7,8,68.622
Water (ns),2274,8.2,8,68.622
Water (ns),2245,8.7,8,68.622
Water (ns),675,9.6,8,68.622
Water (ns),1800,9.7,8,68.622
Water (ns),2121,10.1,8,68.622
Water (ns),170,18.2,8,68.62538
Water (ns),472,0.1,8,68.6256
Water (ns),668,13.4,8,68.6256
Water (ns),269,10.99,8,68.628656
Water (ns),367,13.88,8,68.629961
Water (ns),314,13.88,8,68.629961
Water (ns),266,16.81,8,68.629961
Water (ns),269,10.97,8,68.632586
Water (ns),256,11.01,8,68.632586
Water (ns),319,13.78,8,68.632586
Water (ns),361,13.94,8,68.633064
Water (ns),281,10.84,8,68.633232
Water (ns),247,10.85,8,68.633232
Water (ns),237,13.69,8,68.634241
Water (ns),268,10.48,8,68.63639
Water (ns),295,10.48,8,68.63639
Water (ns),282,11.01,8,68.638624
Water (ns),275,13.31,8,68.639895
Water (ns),272,15.3,8,68.674122
Water (ns),248,14.4,8,68.70333333
Water (ns),298,17.3,8,68.70333333
Water (ns),127,17.5,8,68.705
Water (ns),299,17.8,8,68.705
Water (ns),520,18.1,8,68.705
Water (ns),207,16.6,8,68.70785
Water (ns),388,16.1,8,68.79372
Water (ns),240,15.9,8,68.8264
Water (ns),283,19,8,68.82735
Water (ns),316,15.3,8,68.97871
Water (ns),357,19.6,8,68.97871
Water (ns),337,19.1,8,68.98353
Water (ns),1051,14.4,8,69.149465
Water (s),143,8.5,8,69.8984
Water (s),160,4.8,8,70.08808333
Sediment (s),106,9.9,8,70.10956667
Water (s),111,5.1,8,70.15336667
Sediment (s),1350,11,8.01,50.338
Sediment (s),1651,11,8.01,50.338
Sediment (s),952,11,8.01,50.338
