Chao1	Latitude	Location
1016.029412	55.873	Soil
1262.684932	55.873	Soil
1638.20339	55.873	Soil
1723.974522	55.873	Soil
2126.004386	55.873	Soil
1423.673077	55.873	Soil
453.4716981	55.873	Soil
1230.793103	55.873	Soil
1381.5	55.873	Soil
388.5538462	55.873	Soil
1691.839506	55.873	Soil
1913.780374	55.873	Soil
1160.929204	55.873	Soil
1934.908163	55.873	Soil
1702.678392	55.873	Soil
1421.932927	55.873	Soil
1968.012	55.873	Soil
1396.1	55.873	Soil
2046.273438	55.906	Soil
1840.778894	55.905	Soil
1936	55.906	Soil
1243.690909	55.905	Soil
1270.109375	55.905	Soil
1516.139535	55.905	Soil
1290.421053	55.906	Soil
1872.56338	55.905	Soil
2207.68	55.905	Soil
501.7317073	55.906	Water
1819.07767	55.905	Soil
1778.571429	55.906	Soil
2390.861111	55.906	Soil
1958.090909	55.905	Soil
1897.313901	55.905	Soil
2231.130233	55.905	Soil
1949.591549	55.905	Soil
2391.62069	55.905	Soil
1365.351955	55.905	Water
1761.435146	55.905	Soil
2072.042553	55.906	Soil
2018.14359	55.905	Soil
2057.359375	55.905	Soil
1843.876712	55.905	Soil
2136.548077	55.905	Soil
1976.894495	55.905	Soil
2057.84689	55.905	Soil
2250.884	55.905	Soil
1847.399142	55.905	Soil
1834.120332	55.906	Soil
186.2173913	55.905	Water
1873.225352	55.905	Soil
2266.192308	55.905	Soil
1937.929245	55.905	Soil
1971.95814	55.905	Soil
2256.623894	55.905	Soil
1895.779412	55.905	Soil
2032.991189	55.905	Soil
2129.126437	55.905	Soil
1980.777311	55.906	Soil
2120.204444	55.905	Water
1785.530864	55.905	Soil
1890.065637	55.905	Soil
1741.157609	55.905	Soil
1975	55.905	Soil
710.2978723	55.906	Water
1729.328829	55.905	Soil
2031.174312	55.905	Soil
1953.743191	55.905	Soil
1942.538462	55.906	Soil
1959.338645	55.905	Soil
2710.336245	55.905	Soil
1575.333333	55.906	Water
1900.58427	55.905	Soil
1744.8125	55.905	Soil
749.2075472	55.905	Water
1846.223301	55.905	Soil
1725.60396	55.906	Soil
2003.388889	55.905	Soil
2011.92827	55.905	Soil
2201.918103	55.905	Soil
2327.544248	55.905	Soil
2512.818182	55.905	Water
1823.586592	55.905	Soil
2220.869403	55.905	Soil
1946.040201	55.905	Soil
2123.472222	55.906	Soil
2253.470852	55.905	Water
1923.601896	55.905	Soil
2061.979079	55.905	Soil
1808.905579	55.905	Soil
1915.850202	55.905	Soil
2255.2	55.905	Soil
1917.562212	55.905	Soil
1809.654321	55.906	Soil
1768.320513	55.905	Soil
1886.554945	55.905	Soil
2386.959108	55.905	Water
2075.352941	55.905	Soil
2081.243478	55.905	Soil
1941.174157	55.905	Soil
1690.006494	55.905	Soil
