Latitude	Shannon	Location
40.015	7.013292662	Animal
40.015	5.765342368	Animal
40.015	3.611920854	Animal
40.015	4.755214007	Animal
40.015	3.808198556	Animal
40.015	6.076484905	Animal
40.015	5.616809966	Animal
40.015	5.908547942	Animal
40.015	5.583989194	Animal
40.015	5.117937173	Animal
40.015	7.304861064	Animal
40.015	6.802415809	Animal
40.015	3.876346117	Animal
40.015	6.347873157	Animal
40.015	4.577146265	Animal
40.015	4.765298675	Animal
40.015	5.125986207	Animal
40.015	2.927145458	Animal
40.015	2.998122092	Animal
40.015	6.296196301	Animal
40.015	4.77198423	Animal
40.015	4.803374625	Animal
40.015	4.895444628	Animal
40.015	4.976749372	Animal
40.015	3.335802464	Animal
40.015	4.598924216	Animal
40.015	5.207106442	Animal
40.015	5.29251069	Animal
40.015	4.517606611	Animal
40.015	4.904846598	Animal
40.015	4.359083142	Animal
40.015	4.418415173	Animal
40.015	4.728389307	Animal
40.015	5.504188707	Animal
40.015	4.891649027	Animal
40.015	5.741293152	Animal
40.015	4.303076298	Animal
40.015	5.152303246	Animal
40.015	6.363443071	Animal
40.015	5.51783094	Animal
40.015	4.69087556	Animal
40.015	4.616500397	Animal
40.015	4.552312896	Animal
40.015	6.837081518	Animal
40.015	5.569616514	Animal
40.015	4.248140597	Animal
40.015	6.600462556	Animal
40.015	6.998419811	Animal
40.015	5.399321985	Animal
40.015	3.491877389	Animal
40.015	5.903481375	Animal
40.015	5.816525988	Animal
40.015	6.02582129	Animal
40.015	7.191541949	Animal
40.015	6.564819831	Animal
40.015	6.201138295	Animal
40.015	4.24742155	Animal
40.015	4.465513318	Animal
40.015	6.01974931	Animal
40.015	4.004340768	Animal
40.015	5.936867971	Animal
40.015	3.148517012	Animal
40.015	5.753073285	Animal
40.015	5.921447396	Animal
40.015	5.887203711	Animal
40.015	2.801994818	Animal
40.015	4.949451586	Animal
40.015	4.68132428	Animal
40.015	5.43570564	Animal
40.015	6.274979829	Animal
40.015	4.395331833	Animal
40.015	4.424208842	Animal
40.015	5.715899358	Animal
40.015	6.62224934	Animal
40.015	4.849024048	Animal
40.015	3.781212456	Animal
40.015	5.603520778	Animal
40.015	5.104056139	Animal
40.015	6.487310618	Animal
40.015	7.340329244	Animal
40.015	4.404300097	Animal
40.015	6.449128549	Animal
40.015	4.16483958	Animal
40.015	2.864184421	Animal
40.015	5.278716659	Animal
40.015	5.304512084	Animal
40.015	4.535835387	Animal
40.015	4.669859969	Animal
40.015	6.218367607	Animal
40.015	4.801484545	Animal
40.015	4.410723799	Animal
40.015	3.758661484	Animal
40.015	4.179156342	Animal
40.015	4.371876897	Animal
40.015	4.514155032	Animal
40.015	5.748863515	Animal
40.015	5.878910299	Animal
40.015	5.132126693	Animal
40.015	3.709465886	Animal
40.015	6.120394756	Animal
40.015	4.575225806	Animal
40.015	3.056312799	Animal
40.015	4.132819576	Animal
40.015	5.248700947	Animal
40.015	3.455047055	Animal
40.015	5.112190986	Animal
40.015	4.845910296	Animal
40.015	5.88438528	Animal
40.015	5.636474158	Animal
40.015	5.631030454	Animal
40.015	5.049612772	Animal
40.015	4.714880953	Animal
40.015	5.51114961	Animal
40.015	2.271345154	Animal
40.015	5.088344642	Animal
40.015	4.862109392	Animal
40.015	4.623570841	Animal
40.015	4.638228747	Animal
40.015	4.919311552	Animal
40.015	5.484112917	Animal
40.015	6.125608194	Animal
40.015	6.586274634	Animal
40.015	6.438532034	Animal
40.015	4.025911261	Animal
40.015	5.186443407	Animal
40.015	4.886548583	Animal
40.015	5.523661909	Animal
40.015	5.141354068	Animal
40.015	4.941504745	Animal
40.015	4.596533599	Animal
40.015	4.657484058	Animal
40.015	1.597181947	Animal
40.015	4.812087609	Animal
40.015	5.349840338	Animal
40.015	5.033053921	Animal
40.015	6.502661982	Animal
40.015	4.867129802	Animal
40.015	5.034001575	Animal
40.015	5.693647535	Animal
40.015	5.131066711	Animal
40.015	5.383173718	Animal
40.015	5.108195914	Animal
40.015	5.531944333	Animal
40.015	4.847402849	Animal
40.015	5.605864549	Animal
40.015	4.88698535	Animal
40.015	4.761529694	Animal
40.015	4.936428302	Animal
40.015	4.55223903	Animal
40.015	5.27560111	Animal
40.015	4.442403195	Animal
40.015	5.34446352	Animal
40.015	1.865910133	Animal
40.015	5.457932657	Animal
40.015	5.219712953	Animal
40.015	4.345733975	Animal
40.015	5.937511751	Animal
40.015	5.02144418	Animal
40.015	4.150009717	Animal
40.015	5.855445921	Animal
40.015	6.024189015	Animal
40.015	4.994837006	Animal
40.015	2.720873434	Animal
40.015	6.635343361	Animal
40.015	3.195406773	Animal
40.015	5.336586304	Animal
40.015	5.400276038	Animal
40.015	5.275613864	Animal
40.015	3.906153906	Animal
40.015	2.186189208	Animal
40.015	5.757972157	Animal
40.015	6.064960378	Animal
40.015	1.228452388	Animal
40.015	3.695555834	Animal
40.015	5.351204497	Animal
40.015	5.167255983	Animal
40.015	5.3975557	Animal
40.015	5.052412267	Animal
40.015	3.836737263	Animal
40.015	5.906204315	Animal
