OO	Latitude	Location
21	9.75	Distal gut
37	9.75	Distal gut
36	9.75	Distal gut
22	9.75	Distal gut
12	9.75	Distal gut
5	9.75	Distal gut
15	9.75	Distal gut
235	9.75	Distal gut
16	9.75	Distal gut
70	9.75	Distal gut
35	9.75	Distal gut
28	9.75	Distal gut
95	9.75	Distal gut
30	9.75	Distal gut
46	9.75	Distal gut
61	9.75	Distal gut
16	9.75	Distal gut
20	9.75	Distal gut
29	9.75	Distal gut
14	9.75	Distal gut
36	9.75	Distal gut
22	9.75	Distal gut
30	9.75	Distal gut
27	9.75	Distal gut
18	9.75	Distal gut
5	9.75	Distal gut
28	9.75	Distal gut
50	9.75	Distal gut
89	9.75	Distal gut
36	9.75	Distal gut
9	9.75	Distal gut
34	9.75	Distal gut
34	9.75	Distal gut
10	9.75	Distal gut
18	9.75	Distal gut
40	9.75	Distal gut
23	9.75	Distal gut
22	9.75	Distal gut
93	9.75	Distal gut
22	9.75	Distal gut
31	9.75	Distal gut
38	9.75	Distal gut
13	9.75	Distal gut
30	9.75	Distal gut
29	9.75	Distal gut
35	9.75	Distal gut
38	9.75	Distal gut
116	9.75	Distal gut
13	9.75	Distal gut
17	9.75	Distal gut
12	9.75	Distal gut
11	9.75	Distal gut
76	9.75	Distal gut
44	9.75	Distal gut
8	9.75	Distal gut
49	9.75	Distal gut
13	9.75	Distal gut
33	9.75	Distal gut
31	9.75	Distal gut
16	9.75	Distal gut
64	9.75	Distal gut
19	9.75	Distal gut
5	9.75	Distal gut
54	9.75	Distal gut
30	9.75	Distal gut
61	9.75	Distal gut
17	9.75	Distal gut
402	9.961667	Proximal gut
16	9.961667	Proximal gut
9	9.961667	Distal gut
21	9.961667	Proximal gut
109	9.961667	Proximal gut
11	9.961667	Distal gut
236	9.961667	Proximal gut
172	9.961667	Proximal gut
177	9.961667	Distal gut
63	9.961667	Proximal gut
150	9.961667	Proximal gut
14	9.961667	Distal gut
21	9.961667	Proximal gut
37	9.961667	Proximal gut
34	9.961667	Distal gut
130	10.399444	Proximal gut
162	10.399444	Proximal gut
180	10.399444	Distal gut
76	10.461667	Proximal gut
217	10.461667	Proximal gut
177	10.461667	Proximal gut
70	10.461667	Distal gut
66	10.461667	Proximal gut
208	10.461667	Proximal gut
140	10.461667	Proximal gut
56	10.461667	Distal gut
53	10.461667	Proximal gut
249	10.461667	Proximal gut
79	10.461667	Proximal gut
234	10.461667	Proximal gut
171	10.461667	Proximal gut
206	10.461667	Distal gut
65	10.461667	Proximal gut
243	10.461667	Proximal gut
152	10.461667	Proximal gut
146	10.461667	Distal gut
57	10.461667	Proximal gut
234	10.461667	Proximal gut
171	10.461667	Proximal gut
163	10.461667	Distal gut
77	11.035278	Proximal gut
163	11.035278	Proximal gut
46	11.035278	Proximal gut
28	11.035278	Distal gut
147	11.035278	Proximal gut
254	11.035278	Proximal gut
202	11.035278	Proximal gut
143	11.035278	Distal gut
152	11.035278	Proximal gut
399	11.035278	Proximal gut
86	11.035278	Distal gut
254	11.035278	Proximal gut
271	11.035278	Proximal gut
302	11.035278	Proximal gut
398	11.035278	Distal gut
