OO	Latitude	Location
1194	55.906	Soil
1189	55.906	Soil
1213	55.905	Soil
1132	55.906	Soil
840	55.906	Soil
1222	55.905	Soil
1056	55.906	Soil
1118	55.906	Soil
1025	55.905	Soil
1151	55.906	Soil
1047	55.906	Water
1125	55.905	Soil
1320	55.905	Soil
1164	55.905	Soil
1099	55.906	Soil
1127	55.906	Soil
1250	55.905	Soil
1119	55.906	Soil
662	55.905	Water
1128	55.905	Soil
1175	55.906	Soil
1193	55.905	Soil
1295	55.905	Soil
1169	55.905	Soil
1195	55.906	Soil
1151	55.905	Soil
1157	55.906	Soil
1197	55.905	Soil
1316	55.905	Soil
1388	55.906	Water
1236	55.906	Soil
1123	55.905	Soil
1154	55.905	Soil
1186	55.906	Soil
349	55.905	Soil
486	55.905	Soil
406	55.905	Soil
498	55.905	Soil
1061	55.905	Soil
1150	55.905	Soil
1090	55.905	Soil
1058	55.906	Soil
1046	55.905	Soil
1111	55.906	Soil
293	55.905	Water
432	55.905	Soil
482	55.905	Soil
356	55.905	Soil
462	55.905	Soil
1065	55.905	Soil
1123	55.905	Soil
1020	55.905	Soil
1076	55.906	Soil
1079	55.905	Soil
1063	55.906	Soil
436	55.905	Soil
547	55.905	Soil
1064	55.905	Soil
1137	55.905	Soil
1061	55.906	Soil
1002	55.905	Soil
1167	55.906	Soil
1119	55.905	Soil
808	55.906	Soil
433	55.905	Soil
334	55.905	Soil
505	55.905	Soil
1311	55.905	Soil
1183	55.906	Soil
553	55.906	Soil
707	55.905	Soil
99	55.905	Soil
599	55.905	Soil
119	55.905	Soil
106	55.905	Soil
326	55.905	Soil
494	55.905	Soil
773	55.905	Soil
603	55.905	Soil
127	55.905	Soil
699	55.905	Soil
650	55.905	Soil
274	55.905	Soil
493	55.905	Soil
709	55.905	Soil
687	55.905	Soil
41	55.905	Soil
676	55.905	Soil
75	55.905	Soil
62	55.905	Soil
376	55.905	Soil
77	55.905	Soil
46	55.905	Soil
68	55.905	Soil
490	55.905	Soil
711	55.905	Soil
109	55.905	Soil
168	55.905	Soil
650	55.905	Soil
564	55.905	Soil
62	55.905	Soil
569	55.905	Soil
71	55.905	Soil
109	55.905	Soil
533	55.905	Soil
646	55.905	Soil
632	55.905	Soil
54	55.905	Soil
510	55.905	Soil
550	55.905	Soil
182	62.05	Soil
421	62.05	Soil
340	62.05	Soil
179	62.05	Soil
273	62.05	Soil
332	62.05	Soil
149	62.05	Soil
162	62.05	Soil
296	62.05	Soil
118	62.05	Soil
228	62.05	Soil
281	62.05	Soil
201	62.05	Soil
288	62.05	Soil
647	62.05	Soil
138	62.05	Soil
197	62.05	Soil
550	62.05	Soil
150	62.05	Soil
361	62.05	Soil
151	62.05	Soil
425	62.05	Soil
353	62.05	Soil
504	62.05	Soil
504	62.05	Soil
410	62.05	Soil
123	62.05	Soil
140	62.05	Soil
124	62.05	Soil
961	57.183	Soil
930	57.183	Soil
1071	57.183	Soil
1118	57.183	Soil
1105	57.183	Soil
549	57.183	Soil
1215	57.183	Soil
1263	57.183	Soil
1131	57.183	Soil
1340	57.183	Soil
1233	57.183	Soil
1273	57.183	Soil
1260	57.183	Soil
446	57.183	Soil
1131	45.183433	Sediment
1109	45.183433	Sediment
1100	45.183433	Sediment
1167	45.183433	Sediment
1256	45.183433	Sediment
1206	45.183433	Sediment
980	45.942894	Sediment
888	45.942894	Sediment
935	45.942894	Sediment
1209	45.942894	Sediment
1374	45.942894	Sediment
1075	45.942894	Sediment
1068	45.942894	Sediment
1274	45.942894	Sediment
1142	45.942894	Sediment
1115	45.942894	Sediment
1063	45.942894	Sediment
1114	45.942894	Sediment
1066	45.942894	Sediment
919	45.942894	Sediment
1350	45.414297	Sediment
1260	45.414297	Sediment
1228	45.414297	Sediment
1318	45.414297	Sediment
1305	45.414297	Sediment
1214	45.414297	Sediment
1005	45.414297	Sediment
1210	45.414297	Sediment
1132	45.652528	Sediment
1304	45.652528	Sediment
1367	45.652528	Sediment
1538	45.652528	Sediment
1280	45.652528	Sediment
1170	45.652528	Sediment
1339	45.652528	Sediment
1364	45.652528	Sediment
1098	45.322819	Sediment
1178	45.322819	Sediment
965	45.322819	Sediment
1181	45.322819	Sediment
1139	45.322819	Sediment
1129	45.322819	Sediment
1148	45.322819	Sediment
1131	45.322819	Sediment
679	65.154	Soil
634	65.154	Soil
586	65.154	Soil
591	65.154	Soil
689	29.69	Soil
529	29.69	Soil
617	29.69	Soil
922	19.931	Soil
889	19.931	Soil
821	40.177	Soil
800	40.177	Soil
856	40.177	Soil
841	40.177	Soil
666	50.868	Surface
669	50.865	Surface
978	50.867	Surface
789	50.867	Surface
925	50.867	Surface
901	50.864	Surface
611	50.866	Surface
662	50.866	Surface
176	50.866	Surface
894	50.866	Surface
1070	50.52	Surface
898	50.516	Surface
391	50.515	Surface
805	50.867	Surface
839	50.867	Surface
817	50.867	Surface
357	50.879	Surface
788	50.877	Surface
579	50.865	Surface
172	26.895	Soil
1315	27.013056	Soil
1103	43.984	Soil
1323	43.984	Soil
1267	43.984	Soil
1187	43.984	Soil
931	43.984	Soil
1122	43.984	Soil
1257	43.984	Soil
1282	43.984	Soil
1120	43.984	Soil
1209	43.984	Soil
1299	43.984	Soil
1145	43.984	Soil
853	43.984	Soil
1292	43.984	Soil
1280	43.984	Soil
1155	43.984	Soil
928	43.984	Soil
1229	43.984	Soil
1282	43.984	Soil
1191	43.984	Soil
1139	43.984	Soil
1208	43.984	Soil
1168	43.984	Soil
1181	43.984	Soil
1001	43.984	Soil
1190	43.984	Soil
1252	43.984	Soil
1021	43.984	Soil
869	43.984	Soil
1248	43.984	Soil
1163	43.984	Soil
1141	43.984	Soil
1063	43.984	Soil
1238	43.984	Soil
1254	43.984	Soil
1227	43.984	Soil
1275	43.985	Soil
1339	43.985	Soil
1206	43.985	Soil
970	43.985	Soil
1098	43.985	Soil
1296	43.985	Soil
1148	43.985	Soil
1071	43.985	Soil
993	43.985	Soil
1202	43.985	Soil
1155	43.985	Soil
1054	43.985	Soil
144	20.91	Water
235	20.586	Water
229	20.586	Water
247	20.989	Water
635	20.37	Water
542	20.91	Water
596	20.37	Water
250	51.024	Soil
304	51.024	Soil
420	51.024	Soil
227	51.024	Soil
583	51.024	Soil
283	51.024	Soil
551	51.024	Soil
395	51.024	Soil
500	51.024	Soil
514	51.024	Soil
659	51.024	Soil
1224	51.024	Soil
324	51.024	Soil
241	51.024	Soil
680	51.024	Soil
534	51.024	Soil
651	51.024	Soil
618	51.024	Soil
577	51.024	Soil
342	51.024	Soil
386	51.024	Soil
451	51.024	Soil
274	51.024	Soil
500	51.024	Soil
189	51.024	Soil
334	51.024	Soil
350	51.024	Soil
461	51.024	Soil
429	51.024	Soil
344	51.024	Soil
648	51.024	Soil
546	51.024	Soil
591	51.024	Soil
445	51.024	Soil
456	51.024	Soil
234	51.024	Soil
557	51.024	Soil
373	51.024	Soil
420	51.024	Soil
319	51.024	Soil
719	51.024	Soil
239	51.024	Soil
315	51.024	Soil
392	51.024	Soil
244	51.024	Soil
313	51.024	Soil
793	51.024	Soil
871	51.024	Soil
382	51.024	Soil
401	51.024	Soil
620	51.024	Soil
678	51.024	Soil
544	51.024	Soil
304	51.024	Soil
317	51.024	Soil
262	51.024	Soil
246	51.024	Soil
784	51.024	Soil
529	51.024	Soil
402	51.024	Soil
534	51.024	Soil
565	51.024	Soil
470	51.024	Soil
265	51.024	Soil
568	51.024	Soil
383	51.024	Soil
332	51.024	Soil
326	51.024	Soil
321	51.024	Soil
644	51.024	Soil
453	51.024	Soil
478	51.024	Soil
391	51.024	Soil
484	51.024	Soil
436	51.024	Soil
458	51.024	Soil
545	51.024	Soil
619	51.024	Soil
912	51.024	Soil
843	51.024	Soil
739	51.024	Soil
907	51.024	Soil
259	51.024	Soil
1228	51.024	Soil
625	51.024	Soil
